Coin,Name,Symbol,PCoin,PPrice,Trend_1M,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
STN,STN/USDT,stnusdt,2,4,2,0.0,0.0,1,0,0,0,0.0307,0.0307,0.0305,0.0306,10000.0305,-9999.9693,0.0306,0.0306,0.0306,0.0306,False,False,1,0.0,0.0305,0.0307,0.0307
KSM,KSM/USDT,ksmusdt,3,4,2,74.9091,75.0483,1,0,1,1,80.9887,80.9384,74.8477,75.0483,10074.8477,-9919.0616,74.9209,75.0483,74.6952,74.6952,False,False,1,74.8477,74.8477,80.9887,80.9887
NEAR,NEAR/USDT,nearusdt,2,4,2,5.8786,5.8403,1,0,1,1,6.227,6.2211,5.8625,5.9083,10005.8722,-9993.7789,5.8786,5.8403,5.8492,5.8492,False,False,1,5.9083,5.8625,6.227,6.2245
SUKU,SUKU/USDT,sukuusdt,4,4,0,0.1205,0.0,1,2,0,1,0.1229,0.1225,0.1206,0.1234,0.1234,0.1206,0.1206,0.1201,0.1201,0.1201,True,False,1,0.1234,0.1206,0.1229,0.1225
BOSON,BOSON/USDT,bosonusdt,4,4,2,0.0,0.0,2,1,0,1,0.4061,0.4025,0.3938,0.4405,0.4405,-9999.5894,0.3995,0.3995,0.3995,0.3995,False,False,0,0.4084,0.4025,0.4405,0.4029
COMP,COMP/USDT,compusdt,6,2,2,67.13,66.37,1,0,1,1,71.02,70.99,66.91,67.23,10067.01,-9929.01,67.13,67.19,66.57,66.57,False,False,1,67.23,66.91,71.02,70.99
PEARL,PEARL/USDT,pearlusdt,6,2,0,0.0,0.0,1,0,0,0,11.86,11.86,11.38,11.38,11.38,-9988.14,11.38,11.38,11.38,11.38,False,False,1,0.0,11.38,11.86,11.86
CHR,CHR/USDT,chrusdt,2,6,2,0.219046,0.219274,1,0,1,1,0.226524,0.226524,0.217499,0.219274,10000.218305,-9999.773476,0.21985,0.219274,0.218279,0.218279,False,False,1,0.217499,0.217499,0.226524,0.226524
VPAD,VPAD/USDT,vpadusdt,4,4,2,0.0,0.0,1,2,0,1,0.198,0.198,0.1979,0.2042,10000.1979,0.1979,0.2041,0.2041,0.2041,0.2041,False,False,1,0.2042,0.1979,0.198,0.198
HOLO,HOLO/USDT,holousdt,4,6,0,0.0,0.0,2,1,0,1,0.002474,0.002474,0.002452,0.002752,0.002752,-9999.997248,0.002452,0.002452,0.002452,0.002452,False,False,0,0.002752,0.002474,0.002752,0.002474
