Coin,Name,Symbol,PCoin,PPrice,Trend_4H,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
POLS,POLS/USDT,polsusdt,4,4,2,0.6047,0.9275,2,1,1,1,0.666,0.604,0.5989,0.7048,0.7048,-9999.3221,0.6047,0.6645,1.4028,1.4028,False,False,0,0.68,0.604,0.7048,0.6229
IRIS,IRIS/USDT,irisusdt,2,6,0,0.020187,0.034233,1,0,1,0,0.027054,0.022794,0.020187,0.024274,0.024274,-9999.976146,0.020187,0.024274,0.054705,0.054705,False,False,1,0.035303,0.020187,0.027054,0.023589
DODO,DODO/USDT,dodousdt,4,4,1,0.0,0.1523,0,1,0,0,0.1475,0.1322,0.135,0.1523,10000.1389,0.135,0.1489,0.1523,0.4049,0.4049,False,False,0,0.135,0.1322,0.1523,0.136
HT,HT/USDT,htusdt,4,4,1,0.0,9.3149,0,1,0,2,7.3923,6.0,8.8699,9.3149,10007.0157,8.8699,9.298,9.3149,9.2883,9.2883,False,False,0,8.8699,6.0,9.3149,6.9999
YAM,YAM/USDT,yamusdt,4,4,2,0.1797,0.1205,1,0,1,0,0.2637,0.1256,0.103,0.1205,10000.1055,-9999.7998,0.1172,0.1205,0.2074,0.2074,False,False,1,0.103,0.103,0.2637,0.2002
WAXP,WAXP/USDT,waxpusdt,2,6,1,0.265664,0.135828,1,2,1,0,0.128979,0.117281,0.111014,0.135828,10000.120257,0.111014,0.120788,0.135828,0.255617,0.255617,False,False,1,0.111014,0.111014,0.128979,0.122562
ROCO,ROCO/USDT,rocousdt,4,4,1,0.095,0.1222,0,1,0,1,0.1109,0.0995,0.1012,0.1222,10000.1109,0.1012,0.1012,0.1222,0.3679,0.3679,False,False,0,0.1339,0.0995,0.1194,0.1023
LRC,LRC/USDT,lrcusdt,4,4,1,0.0,0.8557,2,1,1,1,0.5072,0.4607,0.443,0.5093,0.5093,0.443,0.443,0.5093,0.8428,0.8428,True,True,0,0.3273,0.4607,0.5093,0.4841
QTUM,QTUM/USDT,qtumusdt,4,4,1,3.6623,4.3906,2,1,1,1,4.0202,3.7283,3.6767,4.0737,4.0737,3.6767,3.8675,4.0737,6.2922,6.2922,False,True,0,3.6767,3.7283,4.0737,3.8677
INV,INV/USDT,invusdt,6,2,2,0.0,93.28,1,0,1,0,142.13,105.71,81.82,93.28,10090.84,-9889.32,88.02,93.28,259.4,259.4,False,False,1,81.82,81.82,142.13,111.83
UNFI,UNFI/USDT,unfiusdt,4,4,1,0.0,4.6375,1,2,1,1,2.5999,1.7261,1.3254,4.6375,10001.6733,1.3254,4.1856,4.6375,4.6888,4.6888,False,False,1,1.3254,1.3254,2.5999,2.2006
AST,AST/USDT,astusdt,4,4,0,0.0733,0.1414,1,0,1,0,0.1161,0.0745,0.0733,0.0865,0.0865,-9999.9134,0.0733,0.0865,0.1389,0.1389,False,False,1,0.1313,0.0733,0.1161,0.0868
BTC,BTC/USDT,btcusdt,6,2,2,37518.57,40367.6,0,1,1,1,32646.55,26656.52,37518.57,40029.86,39480.380000000005,29411.71,37518.57,38672.65,39002.33,39002.33,False,False,0,40029.86,26656.52,40029.86,29286.76
UNB,UNB/USDT,unbusdt,4,6,0,0.001411,0.0053,1,0,1,0,0.0034,0.001673,0.001411,0.00275,0.00275,-9999.997264,0.001411,0.00275,0.005556,0.005556,False,False,1,0.001292,0.001411,0.0034,0.0024
CVP,CVP/USDT,cvpusdt,4,4,0,0.2706,0.7498,1,0,1,0,0.5105,0.2936,0.2706,0.3431,0.3431,-9999.654,0.2706,0.3431,0.7391,0.7391,False,False,1,0.2221,0.2706,0.5105,0.3286
