Coin,Name,Symbol,PCoin,PPrice,Trend_1D,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
POND,POND/USDT,pondusdt,4,6,1,0.0,0.044918,1,2,1,0,0.014264,0.00807,0.006355,0.044918,10000.009551,0.006355,0.062551,0.044918,0.091532,0.091532,False,False,1,0.006355,0.006355,0.014264,0.010245
OMG,OMG/USDT,omgusdt,4,4,2,3.5832,5.6318,0,1,1,1,3.2642,1.9177,3.5832,6.2673,10002.6467,-9994.4378,3.5832,4.5642,17.408,17.408,False,False,0,6.2673,1.9177,6.2673,2.5513
LET,LET/USDT,letusdt,4,6,1,0.0,0.003887,0,1,0,0,0.001999,0.000821,0.002379,0.003887,10000.00133,0.002379,0.006142,0.003887,0.006142,0.006142,False,False,0,0.002379,0.000821,0.003887,0.001282
STORE,STORE/USDT,storeusdt,4,6,2,0.0,0.0,0,0,0,0,0.21,0.01,0.065601,0.065601,10000.067521,-9999.879872,0.065601,0.065601,0.065601,0.065601,False,False,1,0.0,0.01,0.21,0.123443
BBF,BBF/USDT,bbfusdt,4,4,2,0.0,0.0,0,0,0,0,35.2,22.1661,30.1143,30.1143,10028.0,30.1143,30.1143,30.1143,30.1143,30.1143,False,False,1,0.0,22.1661,35.2,27.3011
USDD,USDD/USDT,usddusdt,4,4,0,0.0,0.0,0,0,0,0,1.0705,0.9821,1.0001,1.0001,1.0001,-9999.0002,1.0001,1.0001,1.0001,1.0001,False,False,1,0.0,0.9821,1.0705,1.0015
TUSD,TUSD/USDT,tusdusdt,4,4,2,0.0,0.0,0,0,0,0,1.094,0.9851,0.999,0.999,10000.9995,-9998.9988,0.999,0.999,0.999,0.999,False,False,0,0.0,0.9851,0.9998,1.0013
UTK,UTK/USDT,utkusdt,2,4,2,0.0,0.0,0,1,0,0,0.1669,0.0919,0.4097,0.5427,10000.1507,-9999.5873,0.4097,0.4097,0.4097,0.4097,False,False,0,0.0,0.0919,0.5427,0.1444
WILD,WILD/USDT,wildusdt,4,4,1,0.0,1.265,1,2,1,0,0.4741,0.3105,0.3031,1.265,10000.4182,0.3031,1.1667,1.265,1.779,1.779,False,False,1,0.3031,0.3031,0.4741,0.3594
WTC,WTC/USDT,wtcusdt,4,4,1,0.3929,0.5627,1,2,1,1,0.295,0.1616,0.1134,0.5627,10000.1626,0.1134,0.5035,0.5627,1.0605,1.0605,False,False,1,0.1134,0.1134,0.295,0.1976
AGLD,AGLD/USDT,agldusdt,4,4,2,0.8977,3.225,0,1,1,1,0.7418,0.3619,0.8977,2.3195,10000.7418,-9998.33,0.8977,1.3657,2.8006,2.8006,False,False,0,2.3195,0.3619,2.3195,0.5908
ETH*3,ETH*3/USDT,eth3lusdt,4,4,1,1.9943,2.5573,0,1,0,1,0.9031,0.3931,1.9539,2.5573,10000.5319,1.9539,2.6407,2.5573,24.8126,24.8126,False,False,0,1.9539,0.3931,2.5573,0.5063
XMR,XMR/USDT,xmrusdt,4,2,2,0.0,230.53,1,2,1,1,189.63,150.76,118.81,288.86,288.86,118.81,118.81,230.53,255.38,255.38,True,False,1,128.62,118.81,189.63,179.98
ELA,ELA/USDT,elausdt,2,4,1,0.0,3.44,2,1,1,0,2.0174,1.846,1.601,2.1548,2.1548,1.601,2.9201,2.1548,4.8697,4.8697,False,True,0,1.601,1.846,2.1548,1.948
SXP,SXP/USDT,sxpusdt,4,4,1,1.1714,1.4587,0,1,0,1,0.5272,0.3188,1.1564,1.4587,10000.5046,1.1564,1.1564,1.4587,2.4493,2.4493,False,False,0,2.852,0.3188,1.4587,0.4902
PRQ,PRQ/USDT,prqusdt,4,4,1,0.0,0.1827,1,2,1,0,0.18,0.1098,0.0708,0.1827,10000.1146,0.0708,0.2984,0.1827,0.2984,0.2984,False,False,1,0.0708,0.0708,0.18,0.1227
ANKR,ANKR/USDT,ankrusdt,2,6,2,0.066318,0.084047,0,1,1,1,0.042513,0.025132,0.066318,0.102893,10000.042513,-9999.9126,0.066318,0.079526,0.12911,0.12911,False,False,0,0.102893,0.025132,0.102893,0.040042
