Coin,Name,Symbol,PCoin,PPrice,Trend_1D,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
VLX,VLX/USDT,vlxusdt,4,6,2,0.0,0.0,0,0,0,0,0.120526,0.07,0.091527,0.091527,10000.074238,0.091527,0.091527,0.091527,0.091527,0.091527,False,False,1,0.0,0.07,0.120526,0.072132
SKM,SKM/USDT,skmusdt,2,6,2,0.001407,0.01325,0,1,1,1,0.00073,0.000415,0.001407,0.003645,10000.000679,-9999.99784,0.001407,0.0026,0.002634,0.002634,False,False,0,0.003645,0.000415,0.003645,0.000665
CELO,CELO/USDT,celousdt,4,4,2,2.3641,3.1873,0,1,1,0,2.1934,1.2,2.3641,5.2167,10001.3819,-9997.0075,2.3641,3.0078,5.6207,5.6207,False,False,0,2.0533,1.2,5.2167,1.3328
GMT,GMT/USDT,gmtusdt,4,4,2,0.0,0.0,0,1,0,0,2.0294,0.8896,2.3705,4.1788,10001.4491,-9996.8092,2.3705,2.3705,2.3705,2.3705,False,False,0,0.0,0.8896,4.1788,1.398
MKR,MKR/USDT,mkrusdt,6,2,1,2231.86,2004.53,1,2,1,1,2302.09,954.68,1024.49,2004.53,11257.14,1024.49,1798.5,2004.53,2888.76,2888.76,False,False,1,1024.49,1024.49,2302.09,1406.22
TRB,TRB/USDT,trbusdt,4,4,1,17.2535,15.2424,0,1,0,1,12.207,6.7227,13.0242,15.2424,10011.495,13.0242,17.2535,15.2424,60.9532,60.9532,False,False,0,30.0603,6.7227,15.2424,11.2672
BETH,BETH/USDT,bethusdt,6,2,1,2260.07,3064.8,0,1,0,1,2157.87,1640.55,2697.1,3064.8,11921.31,2697.1,2982.88,3064.8,3995.62,3995.62,False,False,0,2697.1,1640.55,3064.8,1873.07
ANT,ANT/USDT,antusdt,2,4,1,5.1861,6.3399,1,2,1,1,2.3383,1.5535,1.1001,6.3399,10001.7542,1.1001,4.1,6.3399,5.0924,5.0924,False,False,1,1.1001,1.1001,2.3383,2.0517
CNNS,CNNS/USDT,cnnsusdt,2,6,1,0.0,0.00121,0,1,0,0,0.000283,0.000182,0.000659,0.00121,10000.000269,0.000659,0.005544,0.00121,0.005544,0.005544,False,False,0,0.000659,0.000182,0.00121,0.000221
STEEM,STEEM/USDT,steemusdt,4,4,2,0.3093,0.5224,0,1,1,1,0.3035,0.1862,0.3093,0.6459,10000.2923,-9999.5438,0.3093,0.3462,0.6081,0.6081,False,False,0,0.6459,0.1862,0.6459,0.2792
WBTC,WBTC/USDT,wbtcusdt,4,2,1,37196.59,42933.15,0,1,0,1,31341.93,26534.76,39283.11,42933.15,40195.729999999996,39283.11,39283.11,42933.15,60883.37,60883.37,False,False,0,48130.26,26534.76,42933.15,30020.02
TINC,TINC/USDT,tincusdt,4,4,2,0.0,0.0,0,0,0,0,0.99,0.5234,0.6691,0.6691,10000.7099,-9999.3282,0.6691,0.6691,0.6691,0.6691,False,False,1,0.0,0.5234,0.99,0.7051
BAGS,BAGS/USDT,bagsusdt,4,4,1,0.0,5.4059,0,1,0,0,1.9596,1.0,3.6131,5.4059,10001.4243,3.6131,3.6131,5.4059,20.3772,20.3772,False,False,0,0.0,1.0,5.4059,1.38
ONT,ONT/USDT,ontusdt,4,4,1,0.466,0.6266,0,1,0,1,0.3112,0.191,0.4719,0.6266,10000.2902,0.4719,0.4719,0.6266,1.133,1.133,False,False,0,0.7047,0.191,0.6266,0.2836
CMT,CMT/USDT,cmtusdt,4,6,1,0.0,0.012155,1,2,1,0,0.004231,0.003294,0.002502,0.005675,0.005675,0.002502,0.002502,0.005675,0.01054,0.01054,True,True,1,0.002541,0.002502,0.004231,0.003683
SUPER,SUPER/USDT,superusdt,4,4,2,0.5918,0.6656,0,1,1,1,0.2351,0.1461,0.568,0.9257,10000.2259,-9999.2322,0.5834,0.6656,1.7732,1.7732,False,False,0,0.568,0.1461,0.9257,0.2062
IOTX,IOTX/USDT,iotxusdt,2,6,2,0.06541,0.0,1,2,0,1,0.041288,0.036561,0.0214,0.114643,10000.031498,0.0214,0.06541,0.082616,0.112762,0.112762,False,False,1,0.114643,0.0214,0.041288,0.039567
CAN,CAN/USDT,canusdt,4,6,2,0.0,0.0,0,1,0,0,0.000779,0.000396,0.005109,0.0088,10000.000564,0.02329,0.02329,0.02329,0.02329,0.02329,False,False,0,0.0,0.000396,0.0088,0.000547
LPT,LPT/USDT,lptusdt,4,4,1,21.4178,29.0486,0,1,0,1,16.9308,11.627,21.514,29.0486,10015.9328,21.514,21.514,29.0486,37.8715,37.8715,False,False,0,32.1141,11.627,29.0486,15.0946
XCN,XCN/USDT,xcnusdt,4,6,2,0.0,0.0,1,2,0,0,0.140285,0.073022,0.071319,0.115732,10000.0955,0.071319,0.102649,0.102649,0.102649,0.102649,False,False,1,0.0,0.071319,0.140285,0.093583
RUFF,RUFF/USDT,ruffusdt,4,6,1,0.0,0.001405,0,1,0,0,0.000603,0.00044,0.000881,0.001405,10000.000603,0.000881,0.005893,0.001405,0.005893,0.005893,False,False,0,0.000881,0.00044,0.001405,0.000584
CERE,CERE/USDT,cereusdt,4,6,1,0.0,0.040548,0,1,0,0,0.013939,0.007939,0.020326,0.040548,10000.011199,0.020326,0.287992,0.040548,0.287992,0.287992,False,False,0,0.0,0.007939,0.040548,0.009949
XEM,XEM/USDT,xemusdt,4,4,2,0.0906,0.0,0,1,0,1,0.0726,0.0374,0.0906,0.1277,10000.0726,-9999.9009,0.0906,0.1024,0.2209,0.2209,False,False,0,0.1277,0.0374,0.1277,0.0593
NBS,NBS/USDT,nbsusdt,2,6,1,0.0,0.022394,0,1,0,1,0.0072,0.003771,0.010065,0.022394,10000.004828,0.010065,0.018691,0.022394,0.018691,0.018691,False,False,0,0.010065,0.003771,0.022394,0.00466
ETH,ETH/USDT,ethusdt,4,2,1,2818.37,3180.0,0,1,0,1,2282.79,1788.0,2880.56,3180.0,12037.5,2880.56,3143.0,3180.0,4461.05,4461.05,False,False,0,2880.56,1788.0,3180.0,2004.21
WPCI,WPCI/USDT,wpciusdt,4,4,2,0.0,0.0,0,1,0,0,0.4675,0.2711,0.8322,0.8857,10000.406,-9999.182,0.8322,0.8322,0.8322,0.8322,False,False,0,0.0,0.2711,0.8857,0.4044
USDT,USDT/HUSD,usdthusd,4,4,2,0.0,0.0,0,0,0,0,1.1,0.8901,0.9999,1.0011,10000.9988,-9998.9991,1.001,1.001,1.001,1.001,False,False,1,0.0,0.9999,1.1,0.9988
STAKE,STAKE/USDT,stakeusdt,4,4,1,12.7267,12.3122,0,1,0,1,7.847,6.5293,9.9267,12.3122,10006.9313,9.9463,9.9267,12.3122,13.58,13.58,False,False,0,9.072,6.5293,12.3122,6.8182
ERN,ERN/USDT,ernusdt,4,4,2,0.0,0.0,0,1,0,1,3.1332,1.409,4.2802,7.0941,10002.2352,-9995.3983,4.2802,4.2802,4.2802,4.2802,False,False,0,7.0941,1.409,7.0941,2.1469
SOC,SOC/USDT,socusdt,2,6,2,0.0,0.0025,0,1,1,1,0.002626,0.001286,0.00183,0.00445,10000.001982,-9999.997618,0.002454,0.0025,0.008277,0.008277,False,False,0,0.00183,0.001286,0.00445,0.002185
LTC*3,LTC*3/USDT,ltc3lusdt,4,6,1,0.0,0.04595,0,1,0,0,0.005777,0.00199,0.01632,0.04595,10000.0044,0.01632,0.605593,0.04595,0.605593,0.605593,False,False,0,0.01632,0.00199,0.044818,0.003871
KMA,KMA/USDT,kmausdt,2,6,1,0.0,0.009399,0,1,0,0,0.003014,0.00176,0.004674,0.009399,10000.002591,0.004674,0.004674,0.009399,0.060219,0.060219,False,False,0,0.0,0.00176,0.009399,0.002411
RSR,RSR/USDT,rsrusdt,2,6,2,0.011106,0.02911,0,1,1,1,0.007202,0.003328,0.011106,0.022719,10000.004869,-9999.982297,0.011106,0.014992,0.04358,0.04358,False,False,0,0.022719,0.003328,0.022719,0.004601
JUMBO,JUMBO/USDT,jumbousdt,4,4,2,0.0,0.0,0,0,0,0,5.457,2.0,3.71,3.71,10003.8116,3.71,3.71,3.71,3.71,3.71,False,False,1,0.0,2.0,5.457,3.6096
ZIL,ZIL/USDT,zilusdt,4,6,0,0.036571,0.058995,2,1,1,1,0.062721,0.040036,0.036571,0.230701,0.230701,-9999.843717,0.036571,0.045855,0.109152,0.109152,False,False,0,0.230701,0.040036,0.230701,0.057264
SPRT,SPRT/USDT,sprtusdt,4,4,2,0.0,0.0,1,2,0,0,0.5655,0.4564,0.2845,2.6788,10000.4652,0.2845,1.6692,1.6692,1.6692,1.6692,False,False,1,0.0,0.2845,0.5655,0.5035
ZRX,ZRX/USDT,zrxusdt,2,4,2,0.4602,0.6941,0,1,1,1,0.4854,0.297,0.4602,1.1808,10000.4702,-9999.3214,0.4602,0.667,1.1778,1.1778,False,False,0,1.1808,0.297,1.1808,0.443
AIOZ,AIOZ/USDT,aiozusdt,4,4,1,0.0,0.1778,1,2,1,0,0.1647,0.0745,0.063,0.1778,10000.0752,0.063,0.1842,0.1778,0.1842,0.1842,False,False,1,0.063,0.063,0.1647,0.1075
AURY,AURY/USDT,auryusdt,4,4,1,9.2091,7.8041,0,1,0,1,4.0185,3.85,7.2076,7.8041,10004.0185,7.2076,9.2091,7.8041,14.2,14.2,False,False,0,10.5458,3.85,7.8041,3.85
GRT,GRT/USDT,grtusdt,4,6,2,0.0,0.512262,0,1,1,0,0.210012,0.1185,0.302129,0.550572,10000.168139,-9999.507171,0.386302,0.512262,1.074583,1.074583,False,False,0,0.302129,0.1185,0.550572,0.162092
SPELL,SPELL/USDT,spellusdt,4,6,2,0.0,0.005128,0,1,1,0,0.002552,0.000979,0.003273,0.0065,10000.001645,-9999.995302,0.0171,0.005128,0.0171,0.0171,False,False,0,0.003273,0.000979,0.0065,0.00141
PAI,PAI/USDT,paiusdt,4,6,2,0.0,0.0,0,1,0,0,0.001869,0.001051,0.016445,0.016587,10000.001446,0.016445,0.016445,0.016445,0.016445,0.016445,False,False,0,0.0,0.001051,0.016587,0.001434
DOSE,DOSE/USDT,doseusdt,4,4,2,0.0,0.0,1,2,0,0,0.051,0.0241,0.0225,0.159,10000.0373,0.0225,0.1379,0.1379,0.1379,0.1379,False,False,1,0.0,0.0225,0.051,0.036
UNI*(-2),UNI*(-2)/USDT,uni2susdt,4,6,2,0.274709,0.415027,2,1,1,1,1.155913,0.682778,0.211745,1.399746,1.399746,-9999.154205,0.355393,0.415027,0.217149,0.217149,False,False,0,0.211745,0.682778,1.399746,0.730883
SEELE,SEELE/USDT,seeleusdt,2,6,1,0.004136,0.007496,1,2,1,1,0.007561,0.007123,0.006111,0.007496,10000.00638,0.006111,0.006603,0.007496,0.004163,0.004163,False,False,1,0.006111,0.006111,0.007561,0.007407
MANA,MANA/USDT,manausdt,2,4,1,2.4389,2.2339,1,2,1,1,1.3621,0.7,0.6297,2.2339,10000.9219,0.6297,2.4389,2.2339,2.4392,2.4392,False,False,1,0.6297,0.6297,1.3621,1.0923
TOP,TOP/USDT,topusdt,4,6,1,0.0,0.0043,2,1,1,0,0.0006,0.000345,0.000253,0.00175,0.00175,0.000253,0.002266,0.00175,0.002266,0.002266,False,True,0,0.000253,0.000345,0.00175,0.000457
POLC,POLC/USDT,polcusdt,4,4,1,0.0,0.3497,1,2,1,0,0.088,0.0818,0.0818,0.1137,0.1137,0.0824,0.0818,0.1137,0.3403,0.3403,True,True,1,0.056,0.0824,0.088,0.0871
PHCR,PHCR/USDT,phcrusdt,4,6,1,0.0,0.00104,0,1,0,0,0.000235,0.000101,0.0004,0.00104,10000.000194,0.0004,0.004561,0.00104,0.004561,0.004561,False,False,0,0.0,0.000101,0.00104,0.000193
BTC*3,BTC*3/USDT,btc3lusdt,4,4,2,7.5406,9.5233,0,1,1,1,3.6871,2.226,7.552,10.2894,10003.0725,-9991.0607,8.0614,9.5233,65.9493,65.9493,False,False,0,7.552,2.226,10.2894,2.9719
SOS,SOS/USDT,sosusdt,2,8,1,0.0,2.59e-06,0,1,0,0,7.7e-07,2.1e-07,1.56e-06,2.59e-06,10000.00000077,1.56e-06,1.56e-06,2.59e-06,7.63e-06,7.63e-06,False,False,0,0.0,2.1e-07,2.59e-06,5.5e-07
FRONT,FRONT/USDT,frontusdt,4,6,1,0.0,0.85,1,2,1,0,0.321418,0.165108,0.13545,0.85,10000.205704,0.13545,0.873732,0.85,1.120589,1.120589,False,False,1,0.13545,0.13545,0.321418,0.2685
CHR,CHR/USDT,chrusdt,2,6,2,0.336236,0.688151,0,1,1,1,0.289397,0.139804,0.336236,0.685,10000.237645,-9999.417272,0.336236,0.45,0.883995,0.883995,False,False,0,0.685,0.139804,0.685,0.221131
PYR,PYR/USDT,pyrusdt,4,4,2,7.9587,17.3277,0,1,1,1,5.6372,3.0463,7.9587,19.6236,10004.8978,-9985.9683,7.9587,12.3983,37.9133,37.9133,False,False,0,19.6236,3.0463,19.6236,4.6597
PRIMATE,PRIMATE/USDT,primateusdt,4,4,2,0.0,0.0,1,2,0,0,0.0527,0.0336,0.0336,0.18,10000.0452,0.0336,0.1468,0.1468,0.1468,0.1468,False,False,1,0.0,0.0336,0.0527,0.0389
UNI*2,UNI*2/USDT,uni2lusdt,4,6,2,0.3077,0.6823,0,1,1,1,0.0993,0.0394,0.3077,0.5664,10000.079664,-9999.5576,0.3077,0.3648,4.8708,4.8708,False,False,0,0.5664,0.0394,0.5664,0.0764
BRWL,BRWL/USDT,brwlusdt,4,6,2,0.0,0.0,1,2,0,1,0.062,0.0071,0.0065,0.4206,10000.0152,0.0065,0.3439,0.3439,0.3439,0.3439,False,False,1,0.4206,0.0065,0.062,0.016775
DODO,DODO/USDT,dodousdt,4,4,2,0.0,0.0,0,1,0,0,0.1794,0.1253,0.4049,0.4334,10000.1504,0.4049,0.4049,0.4049,0.4049,0.4049,False,False,0,0.0,0.1253,0.4334,0.143
ZEN,ZEN/USDT,zenusdt,4,4,2,32.5011,60.311,0,1,1,1,26.8667,15.2195,32.5011,53.3042,10021.4603,-9953.5,32.5011,40.4572,84.0833,84.0833,False,False,0,53.3042,15.2195,53.3042,20.7539
SMCW,SMCW/USDT,smcwusdt,4,4,2,0.0,0.0989,1,2,1,0,0.076,0.064,0.063,0.1297,10000.0664,0.063,0.0879,0.0989,0.6129,0.6129,False,False,1,0.0835,0.063,0.076,0.0678
OPUL,OPUL/USDT,opulusdt,4,4,1,0.0,1.0486,0,1,0,0,0.2349,0.161,0.3005,1.0486,10000.2349,0.3005,4.503,1.0486,4.503,4.503,False,False,0,0.3005,0.161,1.0486,0.2127
REN,REN/USDT,renusdt,2,6,1,0.321494,0.42252,0,1,0,1,0.18629,0.121511,0.303588,0.42252,10000.161378,0.303588,0.321494,0.42252,0.961291,0.961291,False,False,0,0.531254,0.121511,0.42252,0.153151
DOT*2,DOT*2/USDT,dot2lusdt,4,4,2,2.5345,8.91,0,1,1,1,0.9779,0.2753,2.5345,4.1686,10000.4797,-9996.5566,2.5345,2.9408,38.9683,38.9683,False,False,0,4.1686,0.2753,4.1686,0.4572
YFI,YFI/USDT,yfiusdt,6,2,2,17282.39,0.0,0,1,0,1,10249.58,8878.67,17282.39,25453.24,19692.09,13020.93,17282.39,22653.91,34072.02,34072.02,False,False,0,25453.24,8878.67,25453.24,9376.65
NCT,NCT/USDT,nctusdt,4,6,2,0.0,0.042962,1,2,1,1,0.045,0.023262,0.011986,0.054165,10000.019474,0.011986,0.094093,0.042962,0.094093,0.094093,False,False,1,0.030454,0.011986,0.045,0.027176
ARKN,ARKN/USDT,arknusdt,4,6,2,0.0,0.0,0,1,0,0,0.0331,0.008787,0.110501,0.150018,10000.013995,-9999.909,0.110501,0.110501,0.110501,0.110501,False,False,0,0.0,0.008787,0.150018,0.01245
ZEC,ZEC/USDT,zecusdt,4,2,1,103.78,171.05,1,2,1,1,116.54,91.47,69.47,171.05,10103.77,69.47,133.5,171.05,162.68,162.68,False,False,1,69.47,69.47,116.54,106.28
ICP,ICP/USDT,icpusdt,4,2,2,15.34,0.0,1,2,0,1,10.4,6.82,6.02,23.52,10008.45,6.02,15.34,20.77,51.33,51.33,False,False,1,23.52,6.02,10.4,8.1
LBA,LBA/USDT,lbausdt,4,6,2,0.0,0.003656,1,2,0,1,0.001622,0.001137,0.000817,0.004052,10000.001274,0.000817,0.002877,0.003656,0.003713,0.003713,False,False,1,0.002643,0.000817,0.001622,0.00133
H2O,H2O/USDT,h2ousdt,4,6,2,0.0,0.0,1,2,0,0,0.629661,0.453002,0.3275,0.923198,0.831661,0.3275,0.3275,0.923198,0.296996,0.296996,True,True,1,0.0,0.3275,0.629661,0.600999
SNS,SNS/USDT,snsusdt,2,6,1,0.0,0.030156,0,1,0,0,0.02896,0.024434,0.029893,0.030156,10000.02896,0.029939,0.029893,0.030156,0.204224,0.204224,False,False,0,0.029005,0.024434,0.030156,0.026501
FTT,FTT/USDT,fttusdt,4,4,1,42.9465,48.4729,0,1,0,1,34.825,26.2671,41.0557,48.4729,10030.8651,41.0557,41.0557,48.4729,58.6825,58.6825,False,False,0,49.8447,26.2671,48.4729,30.3432
GEAR,GEAR/USDT,gearusdt,4,4,1,0.0,0.1202,0,1,0,0,0.0277,0.0156,0.058,0.1202,10000.023,0.058,0.466,0.1202,0.466,0.466,False,False,0,0.058,0.0156,0.1202,0.0185
PLATO,PLATO/USDT,platousdt,4,6,2,0.0,0.0,1,2,0,0,0.017001,0.003554,0.002494,0.101,10000.00443,0.002494,0.041981,0.041981,0.041981,0.041981,False,False,1,0.0,0.002494,0.017001,0.006609
LOOM,LOOM/USDT,loomusdt,2,6,2,0.070203,0.128979,0,1,1,1,0.057536,0.03465,0.070203,0.119541,10000.056463,-9999.900698,0.070203,0.089477,0.108459,0.108459,False,False,0,0.119541,0.03465,0.119541,0.052433
GLM,GLM/USDT,glmusdt,4,4,2,0.2733,0.0,1,2,0,1,0.3554,0.1825,0.1624,0.633,10000.2341,0.1624,0.2733,0.4497,0.5661,0.5661,False,False,1,0.633,0.1624,0.3554,0.2584
DOGE,DOGE/USDT,dogeusdt,2,6,2,0.0,0.157859,0,1,1,0,0.114168,0.068828,0.106618,0.179456,10000.0867,-9999.858873,0.140578,0.157859,0.260645,0.260645,False,False,0,0.106618,0.068828,0.179456,0.085091
GQ,GQ/USDT,gqusdt,4,6,2,0.0,0.0,2,1,0,0,0.016115,0.006139,0.006563,0.018143,0.018143,0.055691,0.055691,0.055691,0.055691,0.055691,False,False,0,0.0,0.006139,0.018143,0.008596
UST,UST/USDT,ustusdt,4,4,2,0.0,0.0,0,1,0,0,0.4806,0.035,1.004,1.01,10000.0748,1.004,1.004,1.004,1.004,1.004,False,False,0,0.0,0.035,1.01,0.0619
INSUR,INSUR/USDT,insurusdt,4,4,2,0.4321,1.1773,1,2,1,1,0.4085,0.2761,0.1786,0.9571,10000.2448,0.1786,0.4321,0.6929,1.6314,1.6314,False,False,1,0.9571,0.1786,0.4085,0.3261
RSS3,RSS3/USDT,rss3usdt,4,4,2,0.1602,0.2269,0,1,1,1,0.1474,0.1142,0.1602,0.2168,10000.1383,-9999.8432,0.1602,0.2031,0.4001,0.4001,False,False,0,0.2168,0.1142,0.2168,0.1289
XRP*3,XRP*3/USDT,xrp3lusdt,4,8,1,0.0,0.010158,0,1,0,0,0.00087,0.00038,0.003627,0.010158,10000.00059138,0.003627,0.003627,0.010158,0.0882,0.0882,False,False,0,0.0,0.00038,0.010158,0.00057251
DFA,DFA/USDT,dfausdt,4,4,1,0.0,0.6501,1,2,1,0,0.2895,0.1559,0.1501,0.6501,10000.211,0.1501,1.6741,0.6501,1.9178,1.9178,False,False,1,0.1501,0.1501,0.2895,0.2461
CHSB,CHSB/USDT,chsbusdt,4,4,1,0.0,0.4032,1,2,1,0,0.3475,0.2617,0.2216,0.4032,10000.285,0.2216,0.5418,0.4032,0.5418,0.5418,False,False,1,0.2216,0.2216,0.3475,0.3164
ENJ,ENJ/USDT,enjusdt,4,4,2,1.2775,2.0115,1,2,1,1,0.7786,0.5536,0.4855,1.98,10000.691,0.4855,1.2775,1.6432,2.9334,2.9334,False,False,1,1.98,0.4855,0.7786,0.71
SFUND,SFUND/USDT,sfundusdt,4,4,2,0.0,0.0,0,0,0,0,1.8291,1.3598,1.71,1.71,10001.789,-9998.318,1.71,1.71,1.71,1.71,False,False,1,0.0,1.3598,1.8291,1.7305
LOOT,LOOT/USDT,lootusdt,4,4,2,0.0,0.0,0,0,0,0,8.0,0.8,1.1772,1.1772,10001.0937,-9998.7552,1.1772,1.1772,1.1772,1.1772,False,False,1,0.0,0.8,8.0,1.0903
DOG,DOG/USDT,dogusdt,4,6,2,0.0,0.0,0,1,0,0,0.002064,0.001335,0.005695,0.0075,10000.001816,0.005695,0.005695,0.005695,0.005695,0.005695,False,False,0,0.0,0.001335,0.0075,0.001772
DIO,DIO/USDT,diousdt,2,6,2,0.0,0.0,0,0,0,0,0.98,0.05,0.593033,0.593033,10000.065723,0.593033,0.593033,0.593033,0.593033,0.593033,False,False,1,0.0,0.05,0.98,0.060853
ELU,ELU/USDT,eluusdt,4,6,2,0.0,0.0,0,0,0,0,0.24,0.05,0.093984,0.093984,10000.055045,-9999.906594,0.093984,0.093984,0.093984,0.093984,False,False,1,0.0,0.05,0.24,0.053664
STORJ,STORJ/USDT,storjusdt,4,4,1,0.8643,1.3908,0,1,0,1,0.6472,0.3655,0.9749,1.3908,10000.6472,0.9749,0.9749,1.3908,1.6124,1.6124,False,False,0,1.6447,0.3655,1.3908,0.5844
BICO,BICO/USDT,bicousdt,4,4,2,1.1521,6.33,1,2,1,1,0.7937,0.5421,0.3604,2.3562,10000.595,0.3604,1.1521,1.7002,6.3,6.3,False,False,1,2.3562,0.3604,0.7937,0.6925
FORTH,FORTH/USDT,forthusdt,4,4,1,0.0,7.2039,1,2,1,0,4.9586,2.4827,1.9769,7.2039,10002.8287,1.9769,5.2973,7.2039,15.9128,15.9128,False,False,1,1.9769,1.9769,4.9586,3.4645
ARPA,ARPA/USDT,arpausdt,2,6,1,0.063006,0.066665,0,1,0,1,0.04456,0.023885,0.048502,0.066665,10000.036064,0.048502,0.063006,0.066665,0.181322,0.181322,False,False,0,0.0947,0.023885,0.066665,0.033991
NEXO,NEXO/USDT,nexousdt,2,4,1,0.0,2.99,0,1,0,0,1.6482,0.9157,2.2525,2.99,10001.3624,2.2525,2.921,2.99,2.921,2.921,False,False,0,0.0,0.9157,2.99,1.3321
CTX,CTX/USDT,ctxusdt,4,4,1,6.5033,5.4525,0,1,0,0,5.7221,2.7285,4.5313,5.4525,10004.2002,4.5313,6.5033,5.4525,10.9236,10.9236,False,False,0,5.197,2.7285,5.4244,3.9663
ZEC*(-3),ZEC*(-3)/USDT,zec3susdt,4,10,0,6.62e-08,2.0354e-06,2,1,1,1,1.535e-07,9.93e-08,6.62e-08,5.107e-07,5.107e-07,-9999.9999996832,6.62e-08,1.226e-07,9.45e-06,9.45e-06,False,False,0,5.107e-07,9.93e-08,5.107e-07,1.11e-07
THETA,THETA/USDT,thetausdt,4,4,1,2.6283,3.5381,0,1,0,1,1.9067,1.028,2.7566,3.5381,10001.3316,2.7566,2.7566,3.5381,7.7062,7.7062,False,False,0,4.3964,1.028,3.5381,1.2853
GNX,GNX/USDT,gnxusdt,2,6,1,0.0,0.0267,0,1,0,0,0.007677,0.003441,0.00801,0.0267,10000.00611,0.00801,0.031825,0.0267,0.031825,0.031825,False,False,0,0.00801,0.003441,0.0267,0.006015
ONSTON,ONSTON/USDT,onstonusdt,4,6,2,0.0,0.0,0,1,0,0,0.06418,0.035835,0.10421,0.194041,10000.048492,-9999.895439,0.10421,0.10421,0.10421,0.10421,False,False,0,0.0,0.035835,0.194041,0.045718
BTC,BTC/USDT,btcusdt,6,2,1,37150.58,42977.99,0,1,0,1,31463.33,26656.52,39197.4,42977.99,40315.07,39197.4,39197.4,42977.99,60773.45,60773.45,False,False,0,48200.77,26656.52,42977.99,29846.05
WALLET,WALLET/USDT,walletusdt,4,6,2,0.0,0.0,0,0,0,0,0.200516,0.03,0.158022,0.158022,10000.042392,-9999.859117,0.158022,0.158022,0.158022,0.158022,False,False,1,0.0,0.03,0.200516,0.040979
QRDO,QRDO/USDT,qrdousdt,4,4,1,0.0,2.1875,0,1,0,0,0.7207,0.3412,1.7785,2.1875,10000.5539,1.7785,3.0427,2.1875,3.0427,3.0427,False,False,0,0.0,0.3412,2.1875,0.5071
ACH,ACH/USDT,achusdt,4,6,1,0.0,0.047517,0,1,0,0,0.019739,0.013116,0.037952,0.047517,10000.017247,0.037952,0.037952,0.047517,0.087004,0.087004,False,False,0,0.0,0.013116,0.047517,0.016753
REEF,REEF/USDT,reefusdt,4,6,1,0.0,0.012732,0,1,0,0,0.006001,0.002738,0.007877,0.012732,10000.004841,0.007877,0.033367,0.012732,0.033367,0.033367,False,False,0,0.007877,0.002738,0.012732,0.004469
AUCTION,AUCTION/USDT,auctionusdt,4,4,1,0.0,15.1068,0,1,0,0,7.4921,3.7285,12.7389,15.1068,10006.5262,12.7389,12.7389,15.1068,37.2626,37.2626,False,False,0,10.9548,3.7285,15.1068,6.3297
DOT*(-2),DOT*(-2)/USDT,dot2susdt,4,6,2,0.133895,0.33073,2,1,1,1,0.59492,0.210378,0.098437,0.630374,0.630374,-9999.534297,0.144521,0.33073,0.090378,0.090378,False,False,0,0.098437,0.210378,0.630374,0.281545
XCH,XCH/USDT,xchusdt,4,4,1,0.0,99.0569,0,1,0,0,45.3179,33.7129,82.3255,99.0569,10037.0275,82.3255,179.2805,99.0569,179.2805,179.2805,False,False,0,0.0,33.7129,99.0569,36.2252
EGLD,EGLD/USDT,egldusdt,4,4,1,0.0,140.6327,1,2,1,0,103.4774,86.4214,71.9685,140.6327,10096.1131,71.9685,121.41,140.6327,241.805,241.805,False,False,1,71.9685,71.9685,103.4774,91.2064
ASTR,ASTR/USDT,astrusdt,2,6,1,0.097016,0.179239,0,1,0,1,0.089925,0.041471,0.130472,0.179239,10000.059766,0.130472,0.097016,0.179239,0.310917,0.310917,False,False,0,0.337151,0.041471,0.179239,0.05703
STPT,STPT/USDT,stptusdt,2,6,2,0.0,0.0,0,1,0,0,0.053417,0.03388,0.056301,0.124992,10000.052311,-9999.857707,0.129229,0.129229,0.129229,0.129229,False,False,0,0.0,0.03388,0.124992,0.050373
BCH*(-3),BCH*(-3)/USDT,bch3susdt,4,8,0,8.8e-06,2.996e-05,1,0,1,0,5.761e-05,1.873e-05,8.8e-06,1.724e-05,1.724e-05,-9999.9999736,8.8e-06,1.724e-05,1.443e-05,1.443e-05,False,False,1,7.79e-06,8.8e-06,5.761e-05,2.833e-05
IDEX,IDEX/USDT,idexusdt,4,4,2,0.1332,0.2486,1,2,1,1,0.1482,0.0509,0.0386,0.5401,10000.0593,0.0386,0.1332,0.1919,0.3983,0.3983,False,False,1,0.5401,0.0386,0.1482,0.0888
UNFI,UNFI/USDT,unfiusdt,4,4,2,4.4373,0.0,0,1,0,0,3.1305,1.3254,4.4373,7.5,10002.5802,-9993.3876,4.4373,6.7381,5.5615,5.5615,False,False,0,6.5707,1.3254,7.5,2.5284
UNI,UNI/USDT,uniusdt,4,4,2,9.1331,12.9322,0,1,1,1,5.5476,3.7189,9.1331,12.494,10005.4445,-9988.9554,9.1331,9.9557,25.5041,25.5041,False,False,0,12.494,3.7189,12.494,5.3579
MIR,MIR/USDT,mirusdt,4,4,1,1.1453,1.2631,0,1,0,1,0.5499,0.199,1.0022,1.2631,10000.3179,1.0022,1.0022,1.2631,3.3324,3.3324,False,False,0,1.6304,0.199,1.2631,0.2321
