Coin,Name,Symbol,PCoin,PPrice,Trend_5M,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice
VEMP,VEMP/USDT,vempusdt,3,5,2,0.0,0.0,0,0,0,0,0.03705,0.03633,0.03649,0.03649,10000.0366,-9999.96336,0.03649,0.03649,0.03649,0.03649,False,False,1,0.0,0.03642,0.03705
LAT,LAT/USDT,latusdt,2,4,0,0.0159,0.0176,1,2,1,1,0.0163,0.0163,0.0162,0.0166,0.0166,0.0162,0.0162,0.0162,0.0156,0.0156,True,False,1,0.0166,0.0162,0.0163
LOOKS,LOOKS/USDT,looksusdt,4,4,1,0.5136,0.4872,1,2,1,1,0.4771,0.4677,0.4662,0.4872,10000.4739,0.4662,0.4737,0.4872,0.5239,0.5239,False,False,1,0.4662,0.4662,0.4771
ANKR,ANKR/USDT,ankrusdt,2,6,0,0.036746,0.037334,1,0,1,0,0.037328,0.037039,0.036746,0.037196,0.037196,-9999.962961,0.036746,0.037196,0.036244,0.036244,False,False,1,0.036583,0.036746,0.037328
EM,EM/USDT,emusdt,2,6,1,0.0,0.002027,0,1,0,1,0.002021,0.002021,0.002024,0.002027,10000.002021,0.002024,0.002024,0.002027,0.002003,0.002003,False,False,0,0.002174,0.002021,0.002027
ORBR,ORBR/USDT,orbrusdt,4,4,2,0.0,0.0,1,0,0,0,21.1736,20.9082,20.849,21.2086,10021.0189,-9978.8227,21.2086,21.2086,21.2086,21.2086,False,False,1,0.0,20.849,21.1736
NEW,NEW/USDT,newusdt,4,6,0,0.000361,0.0,1,2,0,1,0.00037,0.000361,0.000361,0.000386,0.000386,0.000361,0.000361,0.000338,0.000338,0.000338,True,False,1,0.000386,0.000361,0.00037
LUNA,LUNA/USDT,lunausdt,2,8,1,0.00010878,0.00011255,2,1,1,1,0.00010936,0.00010796,0.00010591,0.00010964,0.00010964,0.00010591,0.00010925,0.00010964,0.00012986,0.00012986,False,True,0,0.00010591,0.00010796,0.00010964
GARI,GARI/USDT,gariusdt,2,6,2,0.65793,0.65703,1,0,1,1,0.665646,0.658064,0.656177,0.65703,10000.656177,-9999.339243,0.656818,0.65703,0.657669,0.657669,False,False,1,0.656177,0.656177,0.665646
DIA,DIA/USDT,diausdt,4,4,1,0.514,0.5684,2,1,1,1,0.5515,0.5515,0.518,0.56,0.56,0.518,0.528,0.56,0.5722,0.5722,False,True,0,0.518,0.5515,0.56
TNB,TNB/USDT,tnbusdt,2,6,0,0.003701,0.003722,1,0,1,0,0.003799,0.003711,0.003701,0.003777,0.003777,-9999.996219,0.003701,0.003722,0.003747,0.003747,False,False,1,0.003566,0.003701,0.003799
STAKE,STAKE/USDT,stakeusdt,4,4,2,0.0,6.6842,2,1,1,1,6.7378,6.6414,6.5998,6.7391,6.7391,-9993.2609,6.658,6.6842,6.692,6.692,False,False,0,6.5998,6.6414,6.7391
BSV*3,BSV*3/USDT,bsv3lusdt,4,10,2,3.8081e-06,4.1026e-06,0,1,1,1,3.6669e-06,3.6669e-06,3.8081e-06,3.9253e-06,10000.0000036669,-9999.99999608,3.8081e-06,3.8233e-06,4.0751e-06,4.0751e-06,False,False,0,3.9253e-06,3.6669e-06,3.9253e-06
TRACE,TRACE/USDT,traceusdt,4,4,2,0.0,0.0,1,0,0,1,0.0647,0.0638,0.0619,0.0643,10000.0619,-9999.9353,0.0621,0.0621,0.0621,0.0621,False,False,1,0.0643,0.0619,0.0647
PEARL,PEARL/USDT,pearlusdt,6,2,2,0.0,0.0,1,0,0,0,11.38,11.38,10.02,11.27,10010.78,-9988.62,11.27,11.27,11.27,11.27,False,False,1,0.0,10.02,11.38
BOBA,BOBA/USDT,bobausdt,4,4,2,0.0,0.4552,1,0,1,0,0.4632,0.4572,0.4419,0.4552,10000.4429,-9999.5373,0.4521,0.4552,0.4521,0.4521,False,False,1,0.4419,0.4419,0.4632
XDEFI,XDEFI/USDT,xdefiusdt,4,4,2,0.0,0.0,0,0,0,0,0.2487,0.2375,0.2394,0.2394,10000.2392,-9999.7587,0.2394,0.2394,0.2394,0.2394,False,False,0,0.0,0.2375,0.2404
SUPER,SUPER/USDT,superusdt,4,4,2,0.1931,0.0,1,2,0,1,0.1947,0.1925,0.1924,0.1961,10000.1924,0.1924,0.1931,0.1928,0.1918,0.1918,False,False,1,0.1961,0.1924,0.1947
SOL,SOL/USDT,solusdt,2,4,0,49.2838,50.0203,1,0,1,0,49.9323,49.8032,49.2838,49.5381,49.5381,-9950.1968,49.2838,49.5381,50.2863,50.2863,False,False,1,48.9584,49.2838,49.9323
POND,POND/USDT,pondusdt,4,6,0,0.009991,0.010146,1,0,1,0,0.01132,0.009775,0.009991,0.010013,0.010013,-9999.989294,0.009991,0.010013,0.010319,0.010319,False,False,1,0.009991,0.009991,0.01132
HBAR,HBAR/USDT,hbarusdt,2,6,0,0.100064,0.100722,1,0,1,0,0.100325,0.100265,0.100064,0.100322,0.100322,-9999.899735,0.100064,0.100239,0.099893,0.099893,False,False,1,0.100322,0.100064,0.100325
STEEM,STEEM/USDT,steemusdt,4,4,0,0.2618,0.2634,1,0,1,0,0.2641,0.2639,0.2618,0.2629,0.2626,-9999.736,0.2618,0.2629,0.258,0.258,False,False,1,0.2607,0.2618,0.2641
TRX,TRX/USDT,trxusdt,2,6,0,0.072105,0.07192,1,0,1,0,0.07265,0.072517,0.072105,0.072379,0.072379,-9999.927483,0.072105,0.071969,0.071113,0.071113,False,False,1,0.072379,0.072105,0.07265
NEO,NEO/USDT,neousdt,4,2,0,10.2,10.32,1,0,1,0,10.29,10.28,10.2,10.24,10.23,-9989.72,10.2,10.24,10.13,10.13,False,False,1,10.24,10.2,10.29
NFT,NFT/USDT,nftusdt,0,10,0,7.701e-07,7.672e-07,1,0,0,0,7.788e-07,7.744e-07,7.701e-07,7.736e-07,7.736e-07,-9999.9999992238,7.701e-07,7.672e-07,7.616e-07,7.616e-07,False,False,1,0.0,7.701e-07,7.788e-07
PRIMATE,PRIMATE/USDT,primateusdt,4,4,0,0.037,0.0,2,1,0,1,0.0385,0.0374,0.037,0.0387,0.0387,-9999.9615,0.037,0.0371,0.0358,0.0358,False,False,0,0.0387,0.0374,0.0387
WBTC,WBTC/USDT,wbtcusdt,4,2,1,29202.4,29301.79,1,2,1,1,29298.56,29298.5,29242.22,29301.79,39242.22,29242.22,29284.84,29301.79,28889.86,28889.86,False,False,1,29242.22,29242.22,29298.56
ELA,ELA/USDT,elausdt,2,4,0,1.8965,0.0,2,0,0,0,1.9205,1.9004,1.8965,1.9166,1.9156,-9998.0847,1.8965,1.9166,1.8629,1.8629,False,False,0,0.0,1.9004,1.9156
WXT,WXT/USDT,wxtusdt,2,6,2,0.011721,0.0,1,2,0,1,0.011529,0.011528,0.011389,0.011844,10000.011454,0.011389,0.011721,0.011732,0.011694,0.011694,False,False,1,0.011844,0.011389,0.011529
XRP*(-3),XRP*(-3)/USDT,xrp3susdt,4,4,1,2.3594,2.3629,0,1,0,1,2.3374,2.3374,2.3628,2.3629,10002.3374,2.3628,2.3628,2.3629,2.3728,2.3728,False,False,0,2.3724,2.3374,2.3629
HT,HT/USDT,htusdt,4,4,1,0.0,7.02,1,2,1,0,7.019,6.9707,6.861,7.02,10006.915,6.861,7.018,7.02,7.018,7.018,False,False,1,6.861,6.861,7.019
DOT*(-2),DOT*(-2)/USDT,dot2susdt,4,6,2,0.0,0.0,1,0,0,0,0.30485,0.304846,0.297068,0.313673,10000.297068,0.313673,0.313673,0.313673,0.313673,0.313673,False,False,1,0.0,0.297068,0.30485
RING,RING/USDT,ringusdt,2,6,1,0.009134,0.009278,2,1,1,1,0.009163,0.009162,0.009125,0.009206,0.009206,0.009125,0.009125,0.009206,0.009208,0.009208,True,True,0,0.0091,0.009162,0.009206
