Coin,Name,Symbol,PCoin,PPrice,Trend_5M,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice
XTM,XTM/USDT,xtmusdt,4,4,0,0.0532,0.0,2,1,0,1,0.0581,0.0555,0.0532,0.0643,0.0643,-9999.942,0.0532,0.0479,0.0478,0.0478,False,False,0,0.0643,0.0555,0.0643
MTA,MTA/USDT,mtausdt,4,4,2,0.1359,0.1354,0,1,1,1,0.1337,0.1337,0.135,0.1366,10000.1337,-9999.865,0.1368,0.1354,0.137,0.137,False,False,0,0.135,0.1337,0.1366
ICP,ICP/USDT,icpusdt,4,2,0,7.76,7.85,1,2,1,1,7.87,7.85,7.78,7.91,7.91,7.78,7.78,7.91,7.69,7.69,True,True,1,7.91,7.78,7.87
RIFI,RIFI/USDT,rifiusdt,4,4,0,0.0273,0.0,1,0,0,0,0.0292,0.0275,0.0273,0.0276,0.0276,-9999.9719,0.0273,0.0274,0.0258,0.0258,False,False,1,0.0276,0.0273,0.0292
AUCTION,AUCTION/USDT,auctionusdt,4,4,1,0.0,6.2413,2,1,1,1,6.201,6.201,6.1208,6.2163,6.2163,6.1208,6.1846,6.2163,6.1846,6.1846,False,True,0,6.1208,6.201,6.2163
LOKA,LOKA/USDT,lokausdt,4,4,1,1.2661,1.2517,0,1,0,1,1.171,1.1437,1.1791,1.2517,10001.1586,1.1791,1.197,1.2517,1.2661,1.2661,False,False,0,1.1791,1.1437,1.2517
NEAR,NEAR/USDT,nearusdt,2,4,1,0.0,5.8687,1,2,1,2,5.8677,5.8356,5.8187,5.8687,10005.8403,5.8187,5.8248,5.8687,5.8021,5.8021,False,False,1,5.8187,5.8187,5.8677
ONIT,ONIT/USDT,onitusdt,4,4,2,0.0,0.0595,2,1,0,1,0.0608,0.0592,0.0586,0.0609,0.0609,-9999.94,0.0594,0.0595,0.0598,0.0598,False,False,0,0.0599,0.0592,0.0609
EOS,EOS/USDT,eosusdt,4,4,1,1.2834,1.2937,1,2,1,1,1.2937,1.2905,1.2848,1.2952,1.2952,1.2848,1.2848,1.2952,1.2739,1.2739,True,True,1,1.2803,1.2848,1.2937
TOKE,TOKE/USDT,tokeusdt,4,4,2,0.0,0.0,0,0,0,0,4.7228,4.4032,4.4917,4.4917,10004.4724,-9995.4607,4.4917,4.4917,4.4917,4.4917,False,False,1,0.0,4.4633,4.7228
CHR,CHR/USDT,chrusdt,2,6,0,0.218045,0.218738,1,0,1,0,0.220284,0.219478,0.218045,0.219901,0.219901,-9999.780522,0.218045,0.218738,0.20991,0.20991,False,False,1,0.216195,0.218045,0.220284
UNI*(-2),UNI*(-2)/USDT,uni2susdt,4,6,0,0.777744,0.78156,1,0,1,0,0.787228,0.779,0.777744,0.783099,0.783099,-9999.216657,0.777744,0.783099,0.823793,0.823793,False,False,1,0.797288,0.777744,0.787228
FILDA,FILDA/USDT,fildausdt,2,6,2,0.0,0.0,1,0,0,0,0.007852,0.007852,0.007607,0.007846,10000.007607,-9999.992148,0.008008,0.008008,0.008008,0.008008,False,False,1,0.0,0.007607,0.007852
CEEK,CEEK/USDT,ceekusdt,4,4,2,0.0,0.0,0,0,0,2,0.1827,0.1718,0.1746,0.1781,10000.1743,-9999.8205,0.1755,0.1755,0.1755,0.1755,False,False,1,0.1781,0.1746,0.1827
XCN,XCN/USDT,xcnusdt,4,6,2,0.0,0.0,1,0,0,0,0.091173,0.090502,0.090137,0.090379,10000.090138,-9999.909417,0.090379,0.090379,0.090379,0.090379,False,False,1,0.0,0.090137,0.091173
SAND,SAND/USDT,sandusdt,4,6,2,1.28232,1.295311,1,0,1,1,1.302569,1.293184,1.286885,1.295311,10001.291866,-9998.700235,1.287572,1.295311,1.254628,1.254628,False,False,1,1.286885,1.286885,1.302569
GST,GST/USDT,gstusdt,4,4,0,2.8738,0.0,1,0,0,0,2.9398,2.906,2.8738,2.92,2.92,-9997.0792,2.8738,2.897,2.8433,2.8433,False,False,1,2.92,2.8738,2.9398
FLOW,FLOW/USDT,flowusdt,4,4,0,2.7401,2.7677,1,0,1,0,2.7636,2.7583,2.7401,2.7572,2.7572,-9997.2417,2.7401,2.7572,2.7727,2.7727,False,False,1,2.7372,2.7401,2.7636
LTC*(-3),LTC*(-3)/USDT,ltc3susdt,4,10,0,2.2399e-06,2.2139e-06,1,0,1,0,2.2586e-06,2.2586e-06,2.2399e-06,2.2488e-06,2.2488e-06,-9999.9999977414,2.2399e-06,2.2015e-06,2.3396e-06,2.3396e-06,False,False,1,2.2488e-06,2.2399e-06,2.2586e-06
PEOPLE,PEOPLE/USDT,peopleusdt,4,6,0,0.024352,0.0,1,2,0,1,0.025,0.02468,0.024242,0.025247,0.025247,0.024242,0.024242,0.024749,0.018029,0.018029,True,False,1,0.025247,0.024242,0.025
AMP,AMP/USDT,ampusdt,4,6,1,0.0,0.013241,0,1,0,0,0.013069,0.012868,0.01306,0.013241,10000.013009,0.01306,0.013117,0.013241,0.01316,0.01316,False,False,0,0.01306,0.012868,0.013241
USDD,USDD/USDT,usddusdt,4,4,2,0.0,0.0,0,0,0,0,1.0041,1.0,1.0011,1.0011,10001.0014,-9998.9988,1.0011,1.0011,1.0011,1.0011,False,False,0,0.0,1.0,1.0013
LXT,LXT/USDT,lxtusdt,2,6,2,0.0,0.000257,1,0,1,0,0.000266,0.000249,0.000241,0.000257,10000.00025,-9999.999748,0.000271,0.000257,0.000271,0.000271,False,False,1,0.000241,0.000241,0.000266
BAND,BAND/USDT,bandusdt,2,4,2,1.7088,1.7023,2,1,1,1,1.7197,1.7197,1.6941,1.7224,1.7224,1.6941,1.7088,1.7224,1.6719,1.6719,False,True,0,1.7224,1.7197,1.7224
UMA,UMA/USDT,umausdt,4,4,1,3.1557,3.9497,0,1,0,1,3.632,3.5853,3.7114,3.9497,10003.632,3.7114,3.7114,3.9497,3.1242,3.1242,False,False,0,4.1857,3.5853,3.9497
LTC,LTC/USDT,ltcusdt,4,2,0,68.93,70.02,1,0,1,0,69.71,69.27,68.93,69.4,69.39,-9930.53,68.93,69.4,68.54,68.54,False,False,1,68.84,68.93,69.71
ETH*(-3),ETH*(-3)/USDT,eth3susdt,4,10,0,3.1748e-06,3.2136e-06,2,1,1,1,3.2359e-06,3.1642e-06,3.1748e-06,3.259e-06,3.259e-06,-9999.999996757,3.1748e-06,3.1567e-06,3.2482e-06,3.2482e-06,False,False,0,3.259e-06,3.1642e-06,3.259e-06
CHSB,CHSB/USDT,chsbusdt,4,4,0,0.0,0.0,0,0,0,0,0.3041,0.3041,0.3041,0.3041,0.3041,0.3041,0.3041,0.3041,0.3041,0.3041,False,False,0,0.0,0.3041,0.3041
LET,LET/USDT,letusdt,4,6,2,0.0,0.0,1,2,0,1,0.001233,0.001233,0.0012,0.001262,10000.0012,0.0012,0.001229,0.001229,0.001229,0.001229,False,False,1,0.001262,0.0012,0.001233
AST,AST/USDT,astusdt,4,4,2,0.0,0.0,0,0,0,0,0.0895,0.0866,0.0895,0.0895,10000.0868,0.0895,0.0895,0.0895,0.0895,0.0895,False,False,0,0.0,0.0866,0.0895
MXC,MXC/USDT,mxcusdt,2,6,1,0.08467,0.08408,2,1,1,1,0.083649,0.083226,0.082854,0.083749,0.083749,0.082854,0.08467,0.083749,0.083861,0.083861,False,True,0,0.082854,0.083226,0.083749
PAX,PAX/USDT,paxusdt,4,4,1,1.0012,1.0014,0,1,0,1,1.0016,1.0012,1.0013,1.0014,10001.0012,1.0013,1.0013,1.0014,1.0013,1.0013,False,False,0,1.0014,1.0012,1.0014
IOI,IOI/USDT,ioiusdt,4,4,1,0.0,0.5305,0,1,0,0,0.51,0.4965,0.5118,0.5305,10000.4965,0.5119,0.5118,0.5305,0.5621,0.5621,False,False,0,0.5118,0.4965,0.5305
DOG,DOG/USDT,dogusdt,4,6,2,0.0,0.0,0,1,0,0,0.001743,0.001618,0.001689,0.001733,10000.00167,-9999.998316,0.001689,0.001689,0.001689,0.001689,False,False,0,0.0,0.001618,0.001733
IDEX,IDEX/USDT,idexusdt,4,4,2,0.096,0.1041,0,1,1,1,0.0945,0.0945,0.0992,0.1045,10000.0945,-9999.8999,0.1002,0.1041,0.0916,0.0916,False,False,0,0.0992,0.0945,0.1045
DCR,DCR/USDT,dcrusdt,4,4,2,37.5629,37.379,2,1,1,1,37.9573,36.9172,37.3379,37.9989,37.9989,-9962.0011,37.5629,37.379,37.3108,37.3108,False,False,0,37.3379,36.9172,37.9989
RADAR,RADAR/USDT,radarusdt,4,6,2,0.009311,0.009725,1,0,1,1,0.010538,0.010159,0.00941,0.009725,10000.009614,-9999.989841,0.009682,0.009725,0.008242,0.008242,False,False,1,0.00941,0.00941,0.010538
BTC*3,BTC*3/USDT,btc3lusdt,4,4,2,2.7945,2.8121,1,2,1,1,2.8,2.8,2.7888,2.8091,2.8091,2.7888,2.7888,2.8091,2.7617,2.7617,True,True,1,2.8093,2.7888,2.8
OXT,OXT/USDT,oxtusdt,4,4,2,0.1274,0.1284,1,2,1,1,0.1289,0.1289,0.1278,0.1295,10000.1278,0.1278,0.1282,0.1284,0.1257,0.1257,False,False,1,0.1281,0.1278,0.1289
ELON,ELON/USDT,elonusdt,2,9,2,4.83e-07,4.88e-07,1,0,1,1,4.92e-07,4.89e-07,4.81e-07,4.88e-07,10000.000000481,-9999.999999511,4.89e-07,4.88e-07,4.8e-07,4.8e-07,False,False,1,4.81e-07,4.81e-07,4.92e-07
WOZX,WOZX/USDT,wozxusdt,4,4,2,0.0,0.0,0,0,0,1,0.1161,0.1005,0.1044,0.1053,10000.1047,-9999.8916,0.1044,0.1044,0.1044,0.1044,False,False,0,0.1053,0.1005,0.1053
XRP*3,XRP*3/USDT,xrp3lusdt,4,8,2,0.00054116,0.000548,1,0,1,1,0.00055298,0.00055298,0.00054002,0.000548,10000.00054002,-9999.99944702,0.000545,0.000548,0.00054316,0.00054316,False,False,1,0.00054002,0.00054002,0.00055298
MOVR,MOVR/USDT,movrusdt,4,4,2,22.1428,22.8413,1,2,1,1,22.8293,22.829,22.7581,22.8581,22.8581,22.7581,22.7581,22.8413,22.0564,22.0564,True,False,1,22.7482,22.7581,22.8293
ANML,ANML/USDT,anmlusdt,4,6,2,0.0,0.0,0,1,0,0,0.002848,0.002759,0.002897,0.002907,10000.002825,0.002897,0.002897,0.002897,0.002897,0.002897,False,False,0,0.0,0.002759,0.002907
SUSHI,SUSHI/USDT,sushiusdt,4,4,1,1.3119,1.3509,1,2,1,1,1.35,1.3424,1.3321,1.3528,1.3528,1.3321,1.3321,1.3528,1.2822,1.2822,True,True,1,1.3266,1.3321,1.35
OGO,OGO/USDT,ogousdt,2,6,2,0.0,0.000626,1,0,1,1,0.000718,0.000693,0.000616,0.000626,10000.000616,-9999.999282,0.000685,0.000626,0.000626,0.000626,False,False,1,0.000616,0.000616,0.000718
DOGE,DOGE/USDT,dogeusdt,2,6,2,0.0,0.084406,1,2,1,1,0.084263,0.084139,0.0836,0.084321,0.084321,0.0836,0.0836,0.084321,0.083962,0.083962,True,True,1,0.084012,0.0836,0.084263
IOTA,IOTA/USDT,iotausdt,4,4,2,0.3224,0.321,1,0,1,1,0.3214,0.3198,0.3191,0.321,10000.3203,-9999.6802,0.3194,0.321,0.323,0.323,False,False,1,0.3191,0.3191,0.3214
ZIL,ZIL/USDT,zilusdt,4,6,1,0.049699,0.050653,1,2,1,1,0.050517,0.050308,0.050019,0.050623,0.050623,0.050019,0.050019,0.050623,0.049919,0.049919,True,True,1,0.049798,0.050019,0.050517
BTS,BTS/USDT,btsusdt,2,4,1,0.0,0.0122,1,2,1,1,0.0122,0.0121,0.012,0.0122,10000.012,0.012,0.0121,0.0122,0.0118,0.0118,False,False,1,0.012,0.012,0.0122
RAD,RAD/USDT,radusdt,4,4,0,1.9573,1.9414,1,2,1,1,2.0005,2.0005,1.9747,2.0218,2.0218,1.9747,1.9747,1.9159,1.9363,1.9363,True,False,1,2.0218,1.9747,2.0005
DYDX,DYDX/USDT,dydxusdt,4,4,1,1.9193,1.9646,0,1,0,1,1.9471,1.9221,1.9398,1.9646,10001.9389,1.9398,1.9569,1.9646,1.9338,1.9338,False,False,0,1.9398,1.9221,1.9646
NEST,NEST/USDT,nestusdt,2,5,0,0.0322,0.0,1,0,0,0,0.03414,0.03297,0.0322,0.03342,0.03342,-9999.96623,0.0322,0.03259,0.03259,0.03259,False,False,1,0.0,0.0322,0.03414
ALICE,ALICE/USDT,aliceusdt,4,4,2,2.8636,2.89,2,1,1,1,2.9043,2.8956,2.85,2.9002,2.9002,-9997.0999,2.8984,2.89,2.8441,2.8441,False,False,0,2.85,2.8956,2.9002
BLZ,BLZ/USDT,blzusdt,2,4,0,0.077,0.0772,1,0,1,0,0.0776,0.0776,0.077,0.0771,0.0771,-9999.9224,0.077,0.0771,0.0744,0.0744,False,False,1,0.0763,0.077,0.0776
SUKU,SUKU/USDT,sukuusdt,4,4,2,0.1178,0.1217,1,0,1,1,0.1234,0.1205,0.117,0.1216,10000.1179,-9999.8773,0.1178,0.1202,0.122,0.122,False,False,1,0.1216,0.117,0.1234
HBB,HBB/USDT,hbbusdt,4,4,2,0.879,0.8973,0,1,1,1,0.8818,0.8756,0.879,0.8925,10000.8776,-9999.1204,0.879,0.8806,0.8974,0.8974,False,False,0,0.8925,0.8756,0.8925
EKT,EKT/USDT,ektusdt,2,6,2,0.0,0.0,1,0,0,0,0.000357,0.000326,0.000319,0.000356,10000.000319,-9999.999643,0.00036,0.00036,0.00036,0.00036,False,False,1,0.0,0.000319,0.000357
ONE,ONE/USDT,oneusdt,2,6,0,0.045686,0.046396,1,0,1,0,0.046579,0.046224,0.045686,0.046331,0.046331,-9999.953546,0.045686,0.046331,0.04593,0.04593,False,False,1,0.045645,0.045686,0.046579
NEXO,NEXO/USDT,nexousdt,2,4,2,1.3122,1.3125,0,1,1,1,1.3249,1.2929,1.3122,1.3249,10001.3102,-9998.679,1.3122,1.3184,1.3192,1.3192,False,False,0,1.3249,1.2929,1.3249
USDT,USDT/RUB,usdtrub,1,2,0,0.0,0.0,1,0,0,0,61.48,59.22,59.22,59.22,59.22,-9938.9,59.22,59.22,59.22,59.22,False,False,1,0.0,59.22,61.48
BTM,BTM/USDT,btmusdt,2,6,0,0.009781,0.00981,1,0,1,0,0.009827,0.009811,0.009781,0.009811,0.009811,-9999.990182,0.009781,0.009806,0.009813,0.009813,False,False,1,0.009811,0.009781,0.009827
FIRO,FIRO/USDT,firousdt,4,4,2,1.8056,1.8093,0,2,1,1,1.7798,1.7467,1.773,1.8136,10001.7703,1.773,1.7997,1.8093,1.7224,1.7224,False,False,1,1.7878,1.773,1.7798
WND,WND/USDT,wndusdt,4,4,2,0.0,0.0,1,2,0,1,0.2112,0.2112,0.2111,0.2126,10000.2111,0.2111,0.2124,0.2124,0.2124,0.2124,False,False,1,0.2126,0.2111,0.2112
DAI,DAI/USDT,daiusdt,2,4,0,1.0008,0.0,1,0,0,0,1.0036,1.0014,1.0008,1.001,1.001,-9998.9982,1.0008,1.0008,1.0008,1.0008,False,False,1,0.0,1.0008,1.0036
KT,KT/USDT,ktusdt,4,6,1,0.0,0.00461,0,1,0,1,0.00461,0.0042,0.00452,0.00461,10000.0042,0.00452,0.004521,0.00461,0.004521,0.004521,False,False,0,0.0047,0.0042,0.0046
CVP,CVP/USDT,cvpusdt,4,4,0,0.3269,0.3365,2,1,1,1,0.3344,0.3329,0.3269,0.3342,0.3342,-9999.6664,0.3269,0.3331,0.3239,0.3239,False,False,0,0.3342,0.3329,0.3342
FRONT,FRONT/USDT,frontusdt,4,6,1,0.275849,0.275735,0,1,0,1,0.270838,0.263255,0.274786,0.275735,10000.26679,0.274786,0.275664,0.275735,0.276683,0.276683,False,False,0,0.274786,0.263255,0.275735
KNC,KNC/USDT,kncusdt,2,4,0,2.4701,2.581,1,0,1,0,2.5102,2.4973,2.4701,2.4975,2.4975,-9997.5027,2.4701,2.4975,2.5911,2.5911,False,False,1,2.4704,2.4701,2.5102
ELF,ELF/USDT,elfusdt,4,4,1,0.1511,0.152,1,2,1,1,0.1518,0.1517,0.1516,0.152,10000.1517,0.1516,0.1518,0.152,0.1508,0.1508,False,False,1,0.1516,0.1516,0.1518
API3,API3/USDT,api3usdt,4,4,2,1.7764,1.8211,1,0,1,1,1.8257,1.8113,1.7886,1.8211,10001.7992,-9998.1887,1.8116,1.8211,1.7423,1.7423,False,False,1,1.7886,1.7886,1.8257
PHA,PHA/USDT,phausdt,4,6,0,0.124427,0.125104,2,1,1,1,0.124917,0.124917,0.124427,0.124933,0.124933,-9999.875067,0.124427,0.124923,0.126004,0.126004,False,False,0,0.124933,0.124917,0.124933
HIT,HIT/USDT,hitusdt,4,8,2,0.0,0.0,2,1,0,0,8.76e-06,8.23e-06,8.18e-06,8.73e-06,8.73e-06,-9999.99999118,8.9e-06,8.9e-06,8.9e-06,8.9e-06,False,False,0,0.0,8.23e-06,8.73e-06
AURY,AURY/USDT,auryusdt,4,4,1,0.0,4.0334,0,1,0,1,4.0,4.0,4.0194,4.0334,10004.0,4.0194,4.1594,4.0334,4.1594,4.1594,False,False,0,4.0194,4.0,4.0334
ACH,ACH/USDT,achusdt,4,6,0,0.016104,0.016172,1,0,1,0,0.016164,0.016164,0.016104,0.016134,0.016134,-9999.983836,0.016104,0.016134,0.015829,0.015829,False,False,1,0.015999,0.016104,0.016164
QTUM,QTUM/USDT,qtumusdt,4,4,0,3.8667,3.8712,1,0,1,0,3.8932,3.8841,3.8667,3.8783,3.8783,-9996.1158,3.8667,3.8712,3.8133,3.8133,False,False,1,3.8783,3.8673,3.8932
BULL,BULL/USDT,bullusdt,2,6,0,0.025412,0.019735,1,0,1,0,0.0316,0.028212,0.025412,0.02897,0.02897,-9999.971788,0.025412,0.019735,0.026025,0.026025,False,False,1,0.02897,0.025412,0.0316
GMPD,GMPD/USDT,gmpdusdt,2,6,0,0.0,0.0,1,0,0,0,0.05061,0.050007,0.050007,0.050007,0.050007,-9999.949587,0.050007,0.050007,0.050007,0.050007,False,False,1,0.0,0.050007,0.05061
WHALE,WHALE/USDT,whaleusdt,4,4,1,2.9036,2.9031,1,2,1,1,2.8824,2.8824,2.8616,2.9031,10002.8616,2.8616,2.9036,2.9031,2.8661,2.8661,False,False,1,2.8616,2.8616,2.8824
BOO,BOO/USDT,boousdt,4,4,2,0.0,0.0,0,0,0,0,4.72,3.8372,3.9076,3.9076,10004.167,-9995.8739,3.9076,3.9076,3.9076,3.9076,False,False,1,0.0,3.9076,4.72
SKL,SKL/USDT,sklusdt,4,6,2,0.077859,0.07874,1,0,1,1,0.079733,0.079228,0.076392,0.07874,10000.077428,-9999.920632,0.078513,0.07874,0.077362,0.077362,False,False,1,0.076392,0.076392,0.079733
VLX,VLX/USDT,vlxusdt,4,6,1,0.0,0.074216,0,1,0,0,0.071,0.07,0.072899,0.074216,10000.070158,0.072899,0.075717,0.074216,0.075717,0.075717,False,False,0,0.0,0.07,0.074216
ARKN,ARKN/USDT,arknusdt,4,6,1,0.011901,0.013907,1,2,1,1,0.012997,0.011911,0.0119,0.013907,10000.0119,0.0119,0.013,0.013907,0.0125,0.0125,False,False,1,0.0119,0.0119,0.012997
ALGO,ALGO/USDT,algousdt,2,4,2,0.427,0.4313,2,0,1,1,0.4291,0.4234,0.4231,0.4281,0.4281,-9999.5727,0.4266,0.4281,0.4338,0.4338,False,False,0,0.4231,0.4234,0.4281
SOC,SOC/USDT,socusdt,2,6,2,0.0,0.0,0,2,0,0,0.002258,0.002154,0.002213,0.002276,10000.002209,0.002251,0.002213,0.002275,0.002275,0.002275,False,False,1,0.0,0.002251,0.002258
YFII,YFII/USDT,yfiiusdt,4,4,2,1182.8949,1185.3871,1,2,1,1,1181.7796,1179.3765,1177.1274,1192.4596,11177.1274,1177.1274,1184.3454,1185.3871,1189.2537,1189.2537,False,False,1,1182.5427,1177.1274,1181.7796
FITFI,FITFI/USDT,fitfiusdt,4,6,1,0.189707,0.187711,0,1,0,1,0.18449,0.172,0.186103,0.187711,10000.178012,0.186103,0.189707,0.187711,0.194195,0.194195,False,False,0,0.186103,0.172,0.187711
CRPT,CRPT/USDT,crptusdt,4,4,0,0.1918,0.1836,1,0,1,0,0.2467,0.2214,0.1918,0.1998,0.1998,-9999.7786,0.1918,0.1998,0.1835,0.1835,False,False,1,0.1983,0.1918,0.2467
SFUND,SFUND/USDT,sfundusdt,4,4,2,0.0,0.0,1,0,0,0,1.789,1.6358,1.6401,1.6895,10001.7448,-9998.3095,1.6895,1.6895,1.6895,1.6895,False,False,1,0.0,1.6401,1.789
BSV*(-3),BSV*(-3)/USDT,bsv3susdt,4,8,0,0.00019035,0.0,1,0,0,0,0.00021802,0.00020002,0.00019035,0.00019202,0.00019202,-9999.9997876,0.00019035,0.00019,0.00019,0.00019,False,False,1,0.00019202,0.00019035,0.00021802
RLC,RLC/USDT,rlcusdt,4,4,2,0.8898,0.8987,1,2,1,1,0.8943,0.8888,0.8842,0.8976,0.8976,0.8842,0.8842,0.8901,0.8678,0.8678,True,False,1,0.8927,0.8842,0.8943
OGN,OGN/USDT,ognusdt,2,4,2,0.2355,0.2353,1,0,1,1,0.236,0.236,0.232,0.2353,10000.232,-9999.764,0.2346,0.2353,0.2335,0.2335,False,False,1,0.232,0.232,0.236
LRC,LRC/USDT,lrcusdt,4,4,0,0.4801,0.4878,1,0,1,0,0.4845,0.4829,0.4801,0.4825,0.4825,-9999.5171,0.4801,0.4825,0.4802,0.4802,False,False,1,0.4834,0.4801,0.4845
WALLET,WALLET/USDT,walletusdt,4,6,2,0.0,0.0,1,0,0,1,0.042412,0.042363,0.042368,0.042374,10000.042374,-9999.95761,0.042371,0.042371,0.042371,0.042371,False,False,1,0.042374,0.042368,0.042412
SOFI,SOFI/USDT,sofiusdt,4,4,0,0.116,0.0,1,0,0,0,0.1225,0.1177,0.116,0.1201,0.1201,-9999.8799,0.116,0.1201,0.1205,0.1205,False,False,1,0.0,0.1161,0.1225
ADP,ADP/USDT,adpusdt,4,6,2,0.0,0.0,2,1,0,1,0.029944,0.023682,0.02206,0.028944,0.028944,-9999.971536,0.023051,0.023051,0.023051,0.023051,False,False,0,0.023432,0.023682,0.028944
XPRT,XPRT/USDT,xprtusdt,4,4,1,1.645,1.7136,0,1,0,1,1.6853,1.6832,1.6915,1.7136,10001.6853,1.6915,1.6915,1.7136,1.6916,1.6916,False,False,0,1.6866,1.6832,1.7027
HPT,HPT/USDT,hptusdt,4,6,2,0.0,0.0,1,2,0,1,0.002003,0.002003,0.002,0.002005,0.002005,0.002,0.002,0.002005,0.002002,0.002002,True,True,1,0.002005,0.002,0.002003
NCT,NCT/USDT,nctusdt,4,6,1,0.032839,0.031025,1,2,1,1,0.029838,0.029023,0.026467,0.031025,10000.028232,0.026467,0.032839,0.031025,0.037628,0.037628,False,False,1,0.026467,0.026467,0.029838
POLC,POLC/USDT,polcusdt,4,4,2,0.0,0.0,0,1,0,0,0.0838,0.0836,0.083,0.0841,10000.083,0.083,0.0853,0.0841,0.0853,0.0853,False,True,0,0.0,0.0836,0.0841
C98,C98/USDT,c98usdt,4,4,1,0.51,0.514,0,1,0,1,0.5118,0.5085,0.5099,0.514,10000.5118,0.5099,0.51,0.514,0.4762,0.4762,False,False,0,0.5148,0.5085,0.514
DAC,DAC/USDT,dacusdt,2,6,2,0.0,0.0,0,0,0,0,7.5e-05,6.5e-05,6.9e-05,7e-05,10000.000068,-9999.999927,7.3e-05,7.3e-05,7.3e-05,7.3e-05,False,False,0,0.0,6.5e-05,7e-05
MKR,MKR/USDT,mkrusdt,6,2,0,1393.73,1402.7,0,0,0,0,1403.05,1403.05,1393.73,1402.7,1402.7,-8596.95,1393.73,1402.7,1401.98,1401.98,False,False,1,1404.53,1397.69,1403.05
CRV,CRV/USDT,crvusdt,4,4,1,1.1599,1.1668,2,1,1,1,1.157,1.1407,1.133,1.1629,1.1629,1.133,1.1599,1.1629,1.113,1.113,False,True,0,1.133,1.1407,1.1629
GF,GF/USDT,gfusdt,4,4,0,0.4864,0.0,1,2,0,1,0.4891,0.4868,0.4868,0.4922,0.4922,0.488,0.4868,0.4851,0.4918,0.4918,True,False,1,0.4922,0.488,0.4891
AXS,AXS/USDT,axsusdt,4,4,1,20.7212,20.7005,1,2,1,1,20.5535,20.5276,20.3204,20.7005,10020.3886,20.3204,20.7212,20.7005,20.7333,20.7333,False,False,1,20.3204,20.3204,20.5535
CTX,CTX/USDT,ctxusdt,4,4,2,0.0,0.0,0,1,0,1,4.1617,3.8604,4.0392,4.2253,10003.9625,-9995.9501,4.0433,4.0433,4.0433,4.0433,False,False,0,4.2253,3.8604,4.2253
FIL*(-3),FIL*(-3)/USDT,fil3susdt,4,8,1,7.242e-05,7.401e-05,0,1,0,1,7.228e-05,7.175e-05,7.243e-05,7.401e-05,10000.00007228,7.297e-05,7.243e-05,7.401e-05,7.689e-05,7.689e-05,False,False,0,7.382e-05,7.175e-05,7.401e-05
PUSH,PUSH/USDT,pushusdt,4,4,0,0.5225,0.0,2,1,0,1,0.5329,0.5257,0.5225,0.5315,0.5315,-9999.4712,0.5225,0.5086,0.5086,0.5086,False,False,0,0.5315,0.5257,0.5315
SPA,SPA/USDT,spausdt,2,6,1,0.051523,0.051909,1,2,1,1,0.050996,0.050447,0.049866,0.051593,0.051593,0.049866,0.049866,0.051593,0.051537,0.051537,True,True,1,0.05004,0.049866,0.050996
O3,O3/USDT,o3usdt,2,4,2,0.0,0.0,0,0,0,0,0.2186,0.199,0.2054,0.2073,10000.2021,-9999.7915,0.2073,0.2073,0.2073,0.2073,False,False,1,0.0,0.2054,0.2186
INV,INV/USDT,invusdt,6,2,1,117.84,122.92,1,2,1,1,115.05,114.81,108.72,122.92,10114.13,108.72,112.64,122.92,86.19,86.19,False,False,1,108.72,108.72,115.05
MC,MC/USDT,mcusdt,4,4,0,1.0149,1.0249,1,0,1,0,1.0561,1.02,1.0149,1.0151,1.0151,-9998.9598,1.0149,1.0151,1.025,1.025,False,False,1,1.0149,1.0149,1.0561
IRIS,IRIS/USDT,irisusdt,2,6,2,0.023564,0.023578,1,2,1,1,0.023451,0.023451,0.023386,0.023594,10000.023386,0.023386,0.023564,0.023578,0.023687,0.023687,False,False,1,0.023594,0.023386,0.023451
SUN,SUN/USDT,sunusdt,2,6,0,0.008649,0.008739,1,0,1,0,0.008756,0.008727,0.008649,0.008725,0.008725,-9999.991273,0.008649,0.008725,0.008708,0.008708,False,False,1,0.0087,0.008649,0.008756
GLMR,GLMR/USDT,glmrusdt,4,4,0,1.1035,1.1332,1,0,1,0,1.1279,1.1217,1.1035,1.1175,1.1175,-9998.8754,1.1035,1.1175,1.1183,1.1183,False,False,1,1.1001,1.1035,1.1279
POLS,POLS/USDT,polsusdt,4,4,0,0.6259,0.6224,2,1,1,1,0.6308,0.6308,0.6259,0.633,0.633,-9999.369,0.6259,0.6264,0.6219,0.6219,False,False,0,0.633,0.6308,0.633
KCASH,KCASH/USDT,kcashusdt,2,6,0,0.001116,0.0,1,0,0,0,0.001289,0.001141,0.001116,0.00119,0.00119,-9999.998751,0.001116,0.001159,0.001159,0.001159,False,False,1,0.0,0.001116,0.001289
FLOKI,FLOKI/USDT,flokiusdt,2,8,2,9.47e-06,9.59e-06,1,0,1,1,9.82e-06,9.8e-06,9.36e-06,9.59e-06,10000.00000944,-9999.9999902,9.47e-06,9.59e-06,9.42e-06,9.42e-06,False,False,1,9.36e-06,9.36e-06,9.82e-06
