Coin,Name,Symbol,PCoin,PPrice,Trend_H1,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
RVN,RVN/USDT,rvnusdt,2,6,0,0.029166,0.030913,1,2,1,1,0.03023,0.029862,0.029621,0.030906,0.030906,0.029621,0.029621,0.030906,0.029959,0.029959,True,True,1,0.031546,0.029621,0.03023,0.030161
AMP,AMP/USDT,ampusdt,4,6,2,0.0,0.0,2,1,0,0,0.014937,0.012868,0.012916,0.014399,0.014399,-9999.985887,0.013566,0.013566,0.013566,0.013566,False,False,0,0.0,0.012868,0.014399,0.013219
OGO,OGO/USDT,ogousdt,2,6,2,0.000601,0.000626,2,1,1,1,0.000889,0.000641,0.000616,0.00079,0.00079,-9999.999239,0.000685,0.000626,0.000629,0.000629,False,False,0,0.000616,0.000641,0.00079,0.0007
QTUM,QTUM/USDT,qtumusdt,4,4,0,3.9642,4.0337,1,2,1,1,4.1798,4.0772,4.0534,4.2102,4.2102,4.0534,4.0534,3.97,3.9867,3.9867,True,False,1,4.2102,4.0534,4.1798,4.1768
WXT,WXT/USDT,wxtusdt,2,6,2,0.011667,0.011899,2,1,1,1,0.012046,0.011759,0.011675,0.012377,0.012377,-9999.987666,0.011705,0.011899,0.009539,0.009539,False,False,0,0.0117,0.011759,0.012377,0.012002
ELON,ELON/USDT,elonusdt,2,9,0,4.6e-07,0.0,1,2,0,1,5.21e-07,4.91e-07,4.91e-07,5.21e-07,5.21e-07,4.92e-07,4.91e-07,5.21e-07,4.9e-07,4.9e-07,True,True,1,5.33e-07,4.92e-07,5.21e-07,5.08e-07
XLM,XLM/USDT,xlmusdt,4,6,0,0.132972,0.134185,1,2,1,1,0.135504,0.134527,0.133771,0.137278,0.137278,0.133771,0.133771,0.133397,0.137767,0.137767,True,False,1,0.137278,0.133771,0.135504,0.13549
LITH,LITH/USDT,lithusdt,4,6,2,0.001934,0.001991,0,1,1,1,0.00191,0.00191,0.001934,0.002065,10000.00191,-9999.997941,0.001934,0.00203,0.00166,0.00166,False,False,0,0.002065,0.00191,0.002065,0.00191
BOBA,BOBA/USDT,bobausdt,4,4,0,0.4416,0.4726,1,0,1,0,0.5025,0.4924,0.4416,0.4552,0.455,-9999.5014,0.4416,0.4552,0.4864,0.4864,False,False,1,0.4346,0.4416,0.5025,0.5012
DOCK,DOCK/USDT,dockusdt,2,6,2,0.018753,0.020781,1,0,0,1,0.020676,0.02052,0.020244,0.020781,10000.020624,-9999.979488,0.020579,0.020781,0.01697,0.01697,False,False,1,0.019759,0.020244,0.020676,0.020676
GALA,GALA/USDT,galausdt,2,6,0,0.081201,0.084986,1,0,1,0,0.09052,0.084361,0.081201,0.086128,0.086128,-9999.913223,0.081201,0.086128,0.091555,0.091555,False,False,1,0.077403,0.081201,0.09052,0.087548
VALUE,VALUE/USDT,valueusdt,4,4,0,0.1268,0.12,2,1,1,1,0.1589,0.1467,0.1442,0.1633,0.1633,0.1442,0.1442,0.1633,0.1132,0.1132,True,True,0,0.1912,0.1467,0.1633,0.1539
FIL*3,FIL*3/USDT,fil3lusdt,4,9,2,9.385e-06,1.1183e-05,1,2,1,1,1.151e-05,1.1255e-05,1.1156e-05,1.21e-05,1.21e-05,1.1156e-05,1.1156e-05,1.1183e-05,1.3e-05,1.3e-05,True,False,1,1.0243e-05,1.1156e-05,1.151e-05,1.1477e-05
RAD,RAD/USDT,radusdt,4,4,2,1.9154,2.056,2,1,1,0,2.0643,2.0091,2.0154,2.0649,2.0649,2.0154,2.0154,2.0649,1.8458,1.8458,True,True,0,1.8929,2.0091,2.0649,2.0415
SDN,SDN/USDT,sdnusdt,2,4,1,0.3932,0.4077,1,2,1,1,0.4072,0.4014,0.3922,0.4077,10000.3969,0.3922,0.3991,0.4077,0.455,0.455,False,False,1,0.3922,0.3922,0.4072,0.4045
AST,AST/USDT,astusdt,4,4,2,0.0884,0.0847,1,2,1,1,0.0867,0.0867,0.0866,0.0908,0.0908,0.0866,0.0866,0.0908,0.0763,0.0763,True,True,1,0.0893,0.0866,0.0867,0.0867
