ID,Coin
2470,MEET
2471,SLT
2473,SOC
2474,MAN
2475,GRLC
2476,RUFF
2478,COFI
2479,EQL
2481,ZPT
2482,CPC
2489,BTW
2490,CXO
2492,ELA
2496,POLY
2497,MTN
2499,CHSB
2501,ADB
2502,HT
2503,DMT
2505,BLZ
2506,SWM
2507,TKY
2511,WPR
2513,MNTP
2516,MLM
2525,ACAT
2528,DTH
2529,CAS
2530,FSN
2535,EDGE
2536,NTK
2537,GEM
2539,REN
2540,LCC
2544,NCash
2545,ABT
2546,REM
2548,POA
2552,IHT
2553,RFR
2554,LYM
2555,SETH
2556,CS
2558,INSTAR
2561,TUBE
2562,LEDU
2563,TUSD
2564,HQX
2565,STAC
2566,ONT
2567,DATX
2569,CHP
2570,TOMO
2571,GRFT
2572,BAX
2573,ELEC
2575,BTCP
2576,TEN
2577,RVN
2578,TONE
2579,SHIP
2584,DEB
2585,CENNZ
2586,SNX
2588,LOOM
2592,BANCA
2595,NANJ
2597,UP
2601,1WO
2603,NPXS
2604,BITG
2605,BFT
2606,WAN
2607,AMLT
2608,MITH
2614,XBP
2616,SPD
2620,SWTH
2624,SENC
2626,FDZ
2627,TPAY
2628,BERRY
2629,XLA
2630,NCT
2631,ODE
2633,XSN
2634,XDC
2638,CTXC
2642,CVT
2643,DVPN
2644,EOSDAC
2645,UUU
2653,AUC
2655,XMC
2658,MFG
2660,ADI
2661,TRIO
2662,XHV
2665,DERO
2666,EFX
2667,FTX
2673,CHX
2674,MSR
2675,DOCK
2676,PHI
2677,LNC
2679,DML
2682,HOT
2685,ZEBI
2686,LND
2688,VIPS
2689,RBLX
2690,BTRN
2691,PNT
2694,NEXO
2696,DAX
2698,HYDRO
2699,SS
2700,CEL
2704,TNS
2705,AMN
2709,MITX
2711,MTC
2712,MT
2713,KEY
2717,BOUTS
2723,FXT
2724,ZIPT
2725,SKM
2726,GEN
2727,BZNT
2735,CNN
2737,GSC
2739,DGX
2741,IIC
2742,SKB
2745,JOINT
2746,GRN
2747,BMH
2748,OXEN
2752,DTRC
2757,CLO
2758,UBT
2759,PAT
2760,LBA
2762,OPEN
2763,MNW
2764,UBSN
2765,XYO
2766,CPT
2771,RED
2772,DGTX
2775,FACE
2776,AVA
2777,IOTX
2780,NKN
2827,SOUL
2828,SPD
2829,REPO
2830,SEELE
2835,EDR
2836,BBO
2837,0xBTC
2838,PI
2840,QKC
2843,ETZ
2846,FTO
